"How play can spark new ideas for your business","Martin Reeves","September 2021",12000
"Got millet? How marketing could improve the lives of African farmers","Zoë Karl-Waithaka","September 2021",20000
"How to fix broken supply chains","Dustin Burke","September 2021",24000
"How biochar removes CO2 from the air — and helps farmers thrive","Axel Reinaud","September 2021",26000
"How music can help you find peace after loss","Steven Sharp Nelson","September 2020",47000
"How COVID-19 transformed the future of medicine","Daniel Kraft","September 2020",40000
"How to avoid catching prickly emotions from other people ","Jessica Garza","September 2020",53000
"A game that lets you decide how to tackle the climate crisis","Cassie Flynn","September 2019",75
"How we could change the planet's climate future","David Wallace-Wells","September 2019",68000
"How online marketplaces can help local economies, not hurt them","Amane Dannouni","September 2019",69000
